duration_minutes,guest,date,session,anonymized_name
131,Yes,28.11.2023,6,d0f99d835b2b5da95fde5e4cdd84e681
145,Yes,28.11.2023,6,add7664d1982a1e7ce45695a3455faae
1,Yes,28.11.2023,6,894d310ab864e1317bbe28054b0d11a0
147,Yes,28.11.2023,6,cc02ff795ad49839a6317c7643db9ed4
5,Yes,28.11.2023,6,1a1408b5410e0b52cb966d0922a7281a
43,Yes,28.11.2023,6,038845742b9fbe8f4b8d47bfb4d6d0a5
113,Yes,28.11.2023,6,1f089b8851e8479682b68f9f114af080
143,Yes,28.11.2023,6,ca255a17075d60da73a99e7a7be98497
145,Yes,28.11.2023,6,a74c70503bbfadbff0b5a1e939c02a74
110,Yes,28.11.2023,6,b3d0876388a8d17860f2bd2cf77f2763
140,Yes,28.11.2023,6,5e7c99207a86a93eaf8f73bb76c13f30
1,Yes,28.11.2023,6,eee6cebd0262e157371b496ab1be3ee4
2,Yes,28.11.2023,6,7fabe495f583b8fd97054faa03a5e889
138,Yes,28.11.2023,6,af28ba62b749ab6b821aee0e93378e18
18,Yes,28.11.2023,6,b7c7b59b48399b4592b74db0e2c5b722
136,Yes,28.11.2023,6,220d9368efdf7891eed20eb1eaf8bf2e
131,Yes,28.11.2023,6,253e8d0a241fb49e4b7058eaa17f0bd6
101,Yes,28.11.2023,6,11f5b28e6f6d7b3bdf0f35121a7db6a5
38,Yes,28.11.2023,6,0573bf3b89a34ea041726c1efe329e73
110,Yes,28.11.2023,6,fd42cd796596127999fa4c7829d884a9
73,Yes,28.11.2023,6,41d7322cb4608233e9baea414ae561f3
76,Yes,28.11.2023,6,38a6f49fa144e11ecdfa2e91877563dd
97,Yes,28.11.2023,6,b5ba3569779f8fe9c002bed17f16ad4b
55,Yes,28.11.2023,6,d79ad30eff417f87bdff58aefcf4dcf4
26,Yes,28.11.2023,6,dfc523d9490bc948f33b1be6d6b74fbc
170,No,05.12.2023,7,def38455859ad75e499820e9747f215d
153,Yes,05.12.2023,7,dab55e08396a1d04198b0789cbba6e6b
